CODE,NAME
C0001,청운효자동
C0002,사직동
C0003,삼청동
C0004,부암동
C0005,평창동
C0006,무악동
C0007,교남동
C0008,가회동
C0009,종로1.2.3.4가동
C0010,종로5.6가동
C0011,이화동
C0012,혜화동
C0013,창신제1동
C0014,창신제2동
C0015,창신제3동
C0016,숭인제1동
C0017,숭인제2동
C0018,소공동
C0019,회현동
C0020,명동
C0021,필동
C0022,장충동
C0023,광희동
C0024,을지로동
C0025,신당동
C0026,다산동
C0027,약수동
C0028,청구동
C0029,신당제5동
C0030,동화동
C0031,황학동
C0032,중림동
C0033,후암동
C0034,용산2가동
C0035,남영동
C0036,청파동
C0037,원효로제1동
C0038,원효로제2동
C0039,효창동
C0040,용문동
C0041,한강로동
C0042,이촌제1동
C0043,이촌제2동
C0044,이태원제1동
C0045,이태원제2동
C0046,한남동
C0047,서빙고동
C0048,보광동
C0049,왕십리제2동
C0050,왕십리도선동
C0051,마장동
C0052,사근동
C0053,행당제1동
C0054,행당제2동
C0055,응봉동
C0056,금호1가동
C0057,금호2.3가동
C0058,금호4가동
C0059,옥수동
C0060,성수1가제1동
C0061,성수1가제2동
C0062,성수2가제1동
C0063,성수2가제3동
C0064,송정동
C0065,용답동
C0066,화양동
C0067,군자동
C0068,중곡제1동
C0069,중곡제2동
C0070,중곡제3동
C0071,중곡제4동
C0072,능동
C0073,광장동
C0074,자양제1동
C0075,자양제2동
C0076,자양제3동
C0077,자양제4동
C0078,구의제1동
C0079,구의제2동
C0080,구의제3동
C0081,용신동
C0082,제기동
C0083,전농제1동
C0084,전농제2동
C0085,답십리제1동
C0086,답십리제2동
C0087,장안제1동
C0088,장안제2동
C0089,청량리동
C0090,회기동
C0091,휘경제1동
C0092,휘경제2동
C0093,이문제1동
C0094,이문제2동
C0095,면목제2동
C0096,면목제4동
C0097,면목제5동
C0098,면목본동
C0099,면목제7동
C0100,면목제3.8동
C0101,상봉제1동
C0102,상봉제2동
C0103,중화제1동
C0104,중화제2동
C0105,묵제1동
C0106,묵제2동
C0107,망우본동
C0108,망우제3동
C0109,신내1동
C0110,신내2동
C0111,성북동
C0112,삼선동
C0113,동선동
C0114,돈암제1동
C0115,돈암제2동
C0116,안암동
C0117,보문동
C0118,정릉제1동
C0119,정릉제2동
C0120,정릉제3동
C0121,정릉제4동
C0122,길음제1동
C0123,길음제2동
C0124,종암동
C0125,월곡제1동
C0126,월곡제2동
C0127,장위제1동
C0128,장위제2동
C0129,장위제3동
C0130,석관동
C0131,삼양동
C0132,미아동
C0133,송중동
C0134,송천동
C0135,삼각산동
C0136,번제1동
C0137,번제2동
C0138,번제3동
C0139,수유제1동
C0140,수유제2동
C0141,수유제3동
C0142,우이동
C0143,인수동
C0144,창제1동
C0145,창제2동
C0146,창제3동
C0147,창제4동
C0148,창제5동
C0149,도봉제1동
C0150,도봉제2동
C0151,쌍문제1동
C0152,쌍문제2동
C0153,쌍문제3동
C0154,쌍문제4동
C0155,방학제1동
C0156,방학제2동
C0157,방학제3동
C0158,월계1동
C0159,월계2동
C0160,월계3동
C0161,공릉1동
C0162,공릉2동
C0163,하계1동
C0164,하계2동
C0165,중계본동
C0166,중계1동
C0167,중계4동
C0168,중계2.3동
C0169,상계1동
C0170,상계2동
C0171,상계3.4동
C0172,상계5동
C0173,상계6.7동
C0174,상계8동
C0175,상계9동
C0176,상계10동
C0177,녹번동
C0178,불광제1동
C0179,불광제2동
C0180,갈현제1동
C0181,갈현제2동
C0182,구산동
C0183,대조동
C0184,응암제1동
C0185,응암제2동
C0186,응암제3동
C0187,역촌동
C0188,신사제1동
C0189,신사제2동
C0190,증산동
C0191,수색동
C0192,진관동
C0193,천연동
C0194,북아현동
C0195,충현동
C0196,신촌동
C0197,연희동
C0198,홍제제1동
C0199,홍제제3동
C0200,홍제제2동
C0201,홍은제1동
C0202,홍은제2동
C0203,남가좌제1동
C0204,남가좌제2동
C0205,북가좌제1동
C0206,북가좌제2동
C0207,아현동
C0208,공덕동
C0209,도화동
C0210,용강동
C0211,대흥동
C0212,염리동
C0213,신수동
C0214,서강동
C0215,서교동
C0216,합정동
C0217,망원제1동
C0218,망원제2동
C0219,연남동
C0220,성산제1동
C0221,성산제2동
C0222,상암동
C0223,목1동
C0224,목2동
C0225,목3동
C0226,목4동
C0227,목5동
C0228,신월1동
C0229,신월2동
C0230,신월3동
C0231,신월4동
C0232,신월5동
C0233,신월6동
C0234,신월7동
C0235,신정1동
C0236,신정2동
C0237,신정3동
C0238,신정4동
C0239,신정6동
C0240,신정7동
C0241,염창동
C0242,등촌제1동
C0243,등촌제2동
C0244,등촌제3동
C0245,화곡제1동
C0246,화곡제2동
C0247,화곡제3동
C0248,화곡제4동
C0249,화곡본동
C0250,화곡제6동
C0251,화곡제8동
C0252,가양제1동
C0253,가양제2동
C0254,가양제3동
C0255,발산제1동
C0256,우장산동
C0257,공항동
C0258,방화제1동
C0259,방화제2동
C0260,방화제3동
C0261,신도림동
C0262,구로제1동
C0263,구로제2동
C0264,구로제3동
C0265,구로제4동
C0266,구로제5동
C0267,가리봉동
C0268,고척제1동
C0269,고척제2동
C0270,개봉제1동
C0271,개봉제2동
C0272,개봉제3동
C0273,오류제1동
C0274,오류제2동
C0275,수궁동
C0276,가산동
C0277,독산제1동
C0278,독산제2동
C0279,독산제3동
C0280,독산제4동
C0281,시흥제1동
C0282,시흥제2동
C0283,시흥제3동
C0284,시흥제4동
C0285,시흥제5동
C0286,영등포본동
C0287,영등포동
C0288,여의동
C0289,당산제1동
C0290,당산제2동
C0291,도림동
C0292,문래동
C0293,양평제1동
C0294,양평제2동
C0295,신길제1동
C0296,신길제3동
C0297,신길제4동
C0298,신길제5동
C0299,신길제6동
C0300,신길제7동
C0301,대림제1동
C0302,대림제2동
C0303,대림제3동
C0304,노량진제1동
C0305,노량진제2동
C0306,상도제1동
C0307,상도제2동
C0308,상도제3동
C0309,상도제4동
C0310,흑석동
C0311,사당제1동
C0312,사당제2동
C0313,사당제3동
C0314,사당제4동
C0315,사당제5동
C0316,대방동
C0317,신대방제1동
C0318,신대방제2동
C0319,보라매동
C0320,청림동
C0321,성현동
C0322,행운동
C0323,낙성대동
C0324,청룡동
C0325,은천동
C0326,중앙동
C0327,인헌동
C0328,남현동
C0329,서원동
C0330,신원동
C0331,서림동
C0332,신사동
C0333,신림동
C0334,난향동
C0335,조원동
C0336,대학동
C0337,삼성동
C0338,미성동
C0339,난곡동
C0340,서초1동
C0341,서초2동
C0342,서초3동
C0343,서초4동
C0344,잠원동
C0345,반포본동
C0346,반포1동
C0347,반포2동
C0348,반포3동
C0349,반포4동
C0350,방배본동
C0351,방배1동
C0352,방배2동
C0353,방배3동
C0354,방배4동
C0355,양재1동
C0356,양재2동
C0357,내곡동
C0358,신사동
C0359,논현1동
C0360,논현2동
C0361,압구정동
C0362,청담동
C0363,삼성1동
C0364,삼성2동
C0365,대치1동
C0366,대치2동
C0367,대치4동
C0368,역삼1동
C0369,역삼2동
C0370,도곡1동
C0371,도곡2동
C0372,개포1동
C0373,개포2동
C0374,개포4동
C0375,세곡동
C0376,일원본동
C0377,일원1동
C0378,일원2동
C0379,수서동
C0380,풍납1동
C0381,풍납2동
C0382,거여1동
C0383,거여2동
C0384,마천1동
C0385,마천2동
C0386,방이1동
C0387,방이2동
C0388,오륜동
C0389,오금동
C0390,송파1동
C0391,송파2동
C0392,석촌동
C0393,삼전동
C0394,가락본동
C0395,가락1동
C0396,가락2동
C0397,문정1동
C0398,문정2동
C0399,장지동
C0400,위례동
C0401,잠실본동
C0402,잠실2동
C0403,잠실3동
C0404,잠실4동
C0405,잠실6동
C0406,잠실7동
C0407,강일동
C0408,상일동
C0409,명일제1동
C0410,명일제2동
C0411,고덕제1동
C0412,고덕제2동
C0413,암사제1동
C0414,암사제2동
C0415,암사제3동
C0416,천호제1동
C0417,천호제2동
C0418,천호제3동
C0419,성내제1동
C0420,성내제2동
C0421,성내제3동
C0422,길동
C0423,둔촌제1동
C0424,둔촌제2동
C0425,중앙동
C0426,동광동
C0427,대청동
C0428,보수동
C0429,부평동
C0430,광복동
C0431,남포동
C0432,영주제1동
C0433,영주제2동
C0434,동대신제1동
C0435,동대신제2동
C0436,동대신제3동
C0437,서대신제1동
C0438,서대신제3동
C0439,서대신제4동
C0440,부민동
C0441,아미동
C0442,초장동
C0443,충무동
C0444,남부민제1동
C0445,남부민제2동
C0446,암남동
C0447,초량제1동
C0448,초량제2동
C0449,초량제3동
C0450,초량제6동
C0451,수정제1동
C0452,수정제2동
C0453,수정제4동
C0454,수정제5동
C0455,좌천동
C0456,범일제1동
C0457,범일제2동
C0458,범일제5동
C0459,남항동
C0460,영선제1동
C0461,영선제2동
C0462,신선동
C0463,봉래제1동
C0464,봉래제2동
C0465,청학제1동
C0466,청학제2동
C0467,동삼제1동
C0468,동삼제2동
C0469,동삼제3동
C0470,부전제1동
C0471,부전제2동
C0472,연지동
C0473,초읍동
C0474,양정제1동
C0475,양정제2동
C0476,전포제1동
C0477,전포제2동
C0478,부암제1동
C0479,부암제3동
C0480,당감제1동
C0481,당감제2동
C0482,당감제4동
C0483,가야제1동
C0484,가야제2동
C0485,개금제1동
C0486,개금제2동
C0487,개금제3동
C0488,범천제1동
C0489,범천제2동
C0490,수민동
C0491,복산동
C0492,명륜동
C0493,온천제1동
C0494,온천제2동
C0495,온천제3동
C0496,사직제1동
C0497,사직제2동
C0498,사직제3동
C0499,안락제1동
C0500,안락제2동
C0501,명장제1동
C0502,명장제2동
C0503,대연제1동
C0504,대연제3동
C0505,대연제4동
C0506,대연제5동
C0507,대연제6동
C0508,용호제1동
C0509,용호제2동
C0510,용호제3동
C0511,용호제4동
C0512,용당동
C0513,감만제1동
C0514,감만제2동
C0515,우암동
C0516,문현제1동
C0517,문현제2동
C0518,문현제3동
C0519,문현제4동
C0520,구포제1동
C0521,구포제2동
C0522,구포제3동
C0523,금곡동
C0524,화명제1동
C0525,화명제2동
C0526,화명제3동
C0527,덕천제1동
C0528,덕천제2동
C0529,덕천제3동
C0530,만덕제1동
C0531,만덕제2동
C0532,만덕제3동
C0533,우제1동
C0534,우제2동
C0535,우제3동
C0536,중제1동
C0537,중제2동
C0538,좌제1동
C0539,좌제2동
C0540,좌제3동
C0541,좌제4동
C0542,송정동
C0543,반여제1동
C0544,반여제2동
C0545,반여제3동
C0546,반여제4동
C0547,반송제1동
C0548,반송제2동
C0549,재송제1동
C0550,재송제2동
C0551,괴정제1동
C0552,괴정제2동
C0553,괴정제3동
C0554,괴정제4동
C0555,당리동
C0556,하단제1동
C0557,하단제2동
C0558,신평제1동
C0559,신평제2동
C0560,장림제1동
C0561,장림제2동
C0562,다대제1동
C0563,다대제2동
C0564,구평동
C0565,감천제1동
C0566,감천제2동
C0567,서제1동
C0568,서제2동
C0569,서제3동
C0570,금사동
C0571,부곡제1동
C0572,부곡제2동
C0573,부곡제3동
C0574,부곡제4동
C0575,장전제1동
C0576,장전제2동
C0577,장전제3동
C0578,선두구동
C0579,청룡노포동
C0580,남산동
C0581,구서제1동
C0582,구서제2동
C0583,금성동
C0584,대저1동
C0585,대저2동
C0586,강동동
C0587,명지동
C0588,가락동
C0589,녹산동
C0590,가덕도동
C0591,거제제1동
C0592,거제제2동
C0593,거제제3동
C0594,거제제4동
C0595,연산제1동
C0596,연산제2동
C0597,연산제3동
C0598,연산제4동
C0599,연산제5동
C0600,연산제6동
C0601,연산제8동
C0602,연산제9동
C0603,남천제1동
C0604,남천제2동
C0605,수영동
C0606,망미제1동
C0607,망미제2동
C0608,광안제1동
C0609,광안제2동
C0610,광안제3동
C0611,광안제4동
C0612,민락동
C0613,삼락동
C0614,모라제1동
C0615,모라제3동
C0616,덕포제1동
C0617,덕포제2동
C0618,괘법동
C0619,감전동
C0620,주례제1동
C0621,주례제2동
C0622,주례제3동
C0623,학장동
C0624,엄궁동
C0625,기장읍
C0626,장안읍
C0627,일광면
C0628,정관읍
C0629,철마면
C0630,동인동
C0631,삼덕동
C0632,성내1동
C0633,성내2동
C0634,성내3동
C0635,대신동
C0636,남산1동
C0637,남산2동
C0638,남산3동
C0639,남산4동
C0640,대봉1동
C0641,대봉2동
C0642,신암1동
C0643,신암2동
C0644,신암3동
C0645,신암4동
C0646,신암5동
C0647,신천1.2동
C0648,신천3동
C0649,신천4동
C0650,효목1동
C0651,효목2동
C0652,도평동
C0653,불로.봉무동
C0654,지저동
C0655,동촌동
C0656,방촌동
C0657,해안동
C0658,안심1동
C0659,안심2동
C0660,안심3.4동
C0661,공산동
C0662,내당1동
C0663,내당2.3동
C0664,내당4동
C0665,비산1동
C0666,비산2.3동
C0667,비산4동
C0668,비산5동
C0669,비산6동
C0670,비산7동
C0671,평리1동
C0672,평리2동
C0673,평리3동
C0674,평리4동
C0675,평리5동
C0676,평리6동
C0677,상중이동
C0678,원대동
C0679,이천동
C0680,봉덕1동
C0681,봉덕2동
C0682,봉덕3동
C0683,대명1동
C0684,대명2동
C0685,대명3동
C0686,대명4동
C0687,대명5동
C0688,대명6동
C0689,대명9동
C0690,대명10동
C0691,대명11동
C0692,고성동
C0693,칠성동
C0694,침산1동
C0695,침산2동
C0696,침산3동
C0697,산격1동
C0698,산격2동
C0699,산격3동
C0700,산격4동
C0701,대현동
C0702,복현1동
C0703,복현2동
C0704,검단동
C0705,무태조야동
C0706,관문동
C0707,태전1동
C0708,태전2동
C0709,구암동
C0710,관음동
C0711,읍내동
C0712,동천동
C0713,노원동
C0714,국우동
C0715,범어1동
C0716,범어2동
C0717,범어3동
C0718,범어4동
C0719,만촌1동
C0720,만촌2동
C0721,만촌3동
C0722,수성1가동
C0723,수성2.3가동
C0724,수성4가동
C0725,황금1동
C0726,황금2동
C0727,중동
C0728,상동
C0729,파동
C0730,두산동
C0731,지산1동
C0732,지산2동
C0733,범물1동
C0734,범물2동
C0735,고산1동
C0736,고산2동
C0737,고산3동
C0738,성당동
C0739,두류1.2동
C0740,두류3동
C0741,감삼동
C0742,죽전동
C0743,장기동
C0744,용산1동
C0745,용산2동
C0746,이곡1동
C0747,이곡2동
C0748,신당동
C0749,본리동
C0750,월성1동
C0751,월성2동
C0752,진천동
C0753,상인1동
C0754,상인2동
C0755,상인3동
C0756,도원동
C0757,송현1동
C0758,송현2동
C0759,본동
C0760,화원읍
C0761,논공읍
C0762,다사읍
C0763,가창면
C0764,하빈면
C0765,옥포면
C0766,현풍면
C0767,유가면
C0768,구지면
C0769,연안동
C0770,신포동
C0771,신흥동
C0772,도원동
C0773,율목동
C0774,동인천동
C0775,북성동
C0776,송월동
C0777,영종동
C0778,운서동
C0779,용유동
C0780,만석동
C0781,화수1.화평동
C0782,화수2동
C0783,송현1.2동
C0784,송현3동
C0785,송림1동
C0786,송림2동
C0787,송림3.5동
C0788,송림4동
C0789,송림6동
C0790,금창동
C0791,숭의2동
C0792,숭의1
C0793,3동
C0794,숭의4동
C0795,용현1
C0796,4동
C0797,용현2동
C0798,용현3동
C0799,용현5동
C0800,학익1동
C0801,학익2동
C0802,도화1동
C0803,도화2
C0804,3동
C0805,주안1동
C0806,주안2동
C0807,주안3동
C0808,주안4동
C0809,주안5동
C0810,주안6동
C0811,주안7동
C0812,주안8동
C0813,관교동
C0814,문학동
C0815,옥련1동
C0816,옥련2동
C0817,선학동
C0818,연수1동
C0819,연수2동
C0820,연수3동
C0821,청학동
C0822,동춘1동
C0823,동춘2동
C0824,동춘3동
C0825,송도1동
C0826,송도2동
C0827,송도3동
C0828,구월1동
C0829,구월2동
C0830,구월3동
C0831,구월4동
C0832,간석1동
C0833,간석2동
C0834,간석3동
C0835,간석4동
C0836,만수1동
C0837,만수2동
C0838,만수3동
C0839,만수4동
C0840,만수5동
C0841,만수6동
C0842,장수서창동
C0843,남촌도림동
C0844,논현1동
C0845,논현2동
C0846,논현고잔동
C0847,부평1동
C0848,부평2동
C0849,부평3동
C0850,부평4동
C0851,부평5동
C0852,부평6동
C0853,산곡1동
C0854,산곡2동
C0855,산곡3동
C0856,산곡4동
C0857,청천1동
C0858,청천2동
C0859,갈산1동
C0860,갈산2동
C0861,삼산1동
C0862,삼산2동
C0863,부개1동
C0864,부개2동
C0865,부개3동
C0866,일신동
C0867,십정1동
C0868,십정2동
C0869,효성1동
C0870,효성2동
C0871,계산1동
C0872,계산2동
C0873,계산3동
C0874,계산4동
C0875,작전1동
C0876,작전2동
C0877,작전서운동
C0878,계양1동
C0879,계양2동
C0880,계양3동
C0881,검암경서동
C0882,연희동
C0883,청라1동
C0884,청라2동
C0885,청라3동
C0886,가정1동
C0887,가정2동
C0888,가정3동
C0889,석남1동
C0890,석남2동
C0891,석남3동
C0892,신현원창동
C0893,가좌1동
C0894,가좌2동
C0895,가좌3동
C0896,가좌4동
C0897,검단1동
C0898,검단2동
C0899,검단3동
C0900,검단4동
C0901,검단5동
C0902,강화읍
C0903,선원면
C0904,불은면
C0905,길상면
C0906,화도면
C0907,양도면
C0908,내가면
C0909,하점면
C0910,양사면
C0911,송해면
C0912,교동면
C0913,삼산면
C0914,서도면
C0915,북도면
C0916,백령면
C0917,대청면
C0918,덕적면
C0919,영흥면
C0920,자월면
C0921,연평면
C0922,충장동
C0923,동명동
C0924,계림1동
C0925,계림2동
C0926,산수1동
C0927,산수2동
C0928,지산1동
C0929,지산2동
C0930,서남동
C0931,학동
C0932,학운동
C0933,지원1동
C0934,지원2동
C0935,양동
C0936,양3동
C0937,농성1동
C0938,농성2동
C0939,광천동
C0940,유덕동
C0941,치평동
C0942,상무1동
C0943,상무2동
C0944,화정1동
C0945,화정2동
C0946,화정3동
C0947,화정4동
C0948,서창동
C0949,금호1동
C0950,금호2동
C0951,풍암동
C0952,동천동
C0953,양림동
C0954,방림1동
C0955,방림2동
C0956,봉선1동
C0957,봉선2동
C0958,사직동
C0959,월산동
C0960,월산4동
C0961,월산5동
C0962,백운1동
C0963,백운2동
C0964,주월1동
C0965,주월2동
C0966,효덕동
C0967,송암동
C0968,대촌동
C0969,중흥1동
C0970,중흥2동
C0971,중흥3동
C0972,중앙동
C0973,임동
C0974,신안동
C0975,용봉동
C0976,운암1동
C0977,운암2동
C0978,운암3동
C0979,동림동
C0980,우산동
C0981,풍향동
C0982,문화동
C0983,문흥1동
C0984,문흥2동
C0985,두암1동
C0986,두암2동
C0987,두암3동
C0988,삼각동
C0989,일곡동
C0990,매곡동
C0991,오치1동
C0992,오치2동
C0993,석곡동
C0994,건국동
C0995,양산동
C0996,송정1동
C0997,송정2동
C0998,도산동
C0999,신흥동
C1000,어룡동
C1001,우산동
C1002,월곡1동
C1003,월곡2동
C1004,비아동
C1005,첨단1동
C1006,첨단2동
C1007,신가동
C1008,운남동
C1009,수완동
C1010,하남동
C1011,임곡동
C1012,동곡동
C1013,평동
C1014,삼도동
C1015,본량동
C1016,신창동
C1017,중앙동
C1018,효동
C1019,신인동
C1020,판암1동
C1021,판암2동
C1022,용운동
C1023,대동
C1024,자양동
C1025,가양1동
C1026,가양2동
C1027,용전동
C1028,성남동
C1029,홍도동
C1030,삼성동
C1031,대청동
C1032,산내동
C1033,은행선화동
C1034,목동
C1035,중촌동
C1036,대흥동
C1037,문창동
C1038,석교동
C1039,대사동
C1040,부사동
C1041,용두동
C1042,오류동
C1043,태평1동
C1044,태평2동
C1045,유천1동
C1046,유천2동
C1047,문화1동
C1048,문화2동
C1049,산성동
C1050,복수동
C1051,도마1동
C1052,도마2동
C1053,정림동
C1054,변동
C1055,용문동
C1056,탄방동
C1057,괴정동
C1058,가장동
C1059,내동
C1060,갈마1동
C1061,갈마2동
C1062,월평1동
C1063,월평2동
C1064,월평3동
C1065,가수원동
C1066,관저1동
C1067,관저2동
C1068,기성동
C1069,둔산1동
C1070,둔산2동
C1071,만년동
C1072,둔산3동
C1073,진잠동
C1074,온천1동
C1075,온천2동
C1076,노은1동
C1077,노은2동
C1078,노은3동
C1079,신성동
C1080,전민동
C1081,구즉동
C1082,관평동
C1083,원신흥동
C1084,오정동
C1085,대화동
C1086,회덕동
C1087,비래동
C1088,송촌동
C1089,중리동
C1090,신탄진동
C1091,석봉동
C1092,덕암동
C1093,목상동
C1094,법1동
C1095,법2동
C1096,학성동
C1097,반구1동
C1098,반구2동
C1099,복산1동
C1100,복산2동
C1101,중앙동
C1102,우정동
C1103,태화동
C1104,다운동
